name	mro	roles_direct	roles_all
X::AdHoc	X::AdHoc,Exception,Any,Mu		
X::Adverb	X::Adverb,Exception,Any,Mu		
X::Anon::Augment	X::Anon::Augment,Exception,Any,Mu	X::Comp	X::Comp
X::Anon::Multi	X::Anon::Multi,Exception,Any,Mu	X::Comp	X::Comp
X::ArrayShapeMismatch	X::ArrayShapeMismatch,Exception,Any,Mu		
X::Assignment::ArrayShapeMismatch	X::Assignment::ArrayShapeMismatch,X::ArrayShapeMismatch,Exception,Any,Mu		
X::Assignment::RO	X::Assignment::RO,Exception,Any,Mu		
X::Assignment::RO::Comp	X::Assignment::RO::Comp,Exception,Any,Mu	X::Comp	X::Comp
X::Assignment::ToShaped	X::Assignment::ToShaped,Exception,Any,Mu		
X::Attribute::NoPackage	X::Attribute::NoPackage,Exception,Any,Mu	X::Comp	X::Comp
X::Attribute::Package	X::Attribute::Package,Exception,Any,Mu	X::Comp	X::Comp
X::Attribute::Regex	X::Attribute::Regex,X::Undeclared,Exception,Any,Mu	X::Comp	X::Comp,X::Comp
X::Attribute::Required	X::Attribute::Required,Exception,Any,Mu	X::MOP	X::MOP
X::Attribute::Scope::Package	X::Attribute::Scope::Package,Exception,Any,Mu	X::Comp	X::Comp
X::Attribute::Undeclared	X::Attribute::Undeclared,X::Undeclared,Exception,Any,Mu	X::Comp	X::Comp,X::Comp
X::Augment::NoSuchType	X::Augment::NoSuchType,Exception,Any,Mu	X::Comp	X::Comp
X::Backslash::NonVariableDollar	X::Backslash::NonVariableDollar,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Backslash::UnrecognizedSequence	X::Backslash::UnrecognizedSequence,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Bind	X::Bind,Exception,Any,Mu		
X::Bind::NativeType	X::Bind::NativeType,Exception,Any,Mu	X::Comp	X::Comp
X::Bind::Rebind	X::Bind::Rebind,X::Bind,Exception,Any,Mu		
X::Bind::Slice	X::Bind::Slice,Exception,Any,Mu		
X::Bind::ZenSlice	X::Bind::ZenSlice,X::Bind::Slice,Exception,Any,Mu		
X::Buf::AsStr	X::Buf::AsStr,Exception,Any,Mu		
X::Buf::Pack	X::Buf::Pack,Exception,Any,Mu		
X::Buf::Pack::NonASCII	X::Buf::Pack::NonASCII,Exception,Any,Mu		
X::Caller::NotDynamic	X::Caller::NotDynamic,X::Symbol::Kind,Exception,Any,Mu		
X::Cannot::Capture	X::Cannot::Capture,Exception,Any,Mu		
X::Cannot::Empty	X::Cannot::Empty,Exception,Any,Mu		
X::Cannot::Lazy	X::Cannot::Lazy,Exception,Any,Mu		
X::Cannot::Map	X::Cannot::Map,Exception,Any,Mu		
X::Cannot::New	X::Cannot::New,Exception,Any,Mu		
X::Channel::ReceiveOnClosed	X::Channel::ReceiveOnClosed,Exception,Any,Mu		
X::Channel::SendOnClosed	X::Channel::SendOnClosed,Exception,Any,Mu		
X::Coerce	X::Coerce,Exception,Any,Mu		
X::Coerce::Impossible	X::Coerce::Impossible,X::Coerce,Exception,Any,Mu		
X::Coerce::Role	X::Coerce::Role,X::Coerce,Exception,Any,Mu	X::Wrapper	X::Wrapper
X::Comp::AdHoc	X::Comp::AdHoc,X::AdHoc,Exception,Any,Mu	X::Comp	X::Comp
X::Comp::BeginTime	X::Comp::BeginTime,Exception,Any,Mu	X::Comp	X::Comp
X::Comp::FailGoal	X::Comp::FailGoal,Exception,Any,Mu	X::Comp	X::Comp
X::Comp::Group	X::Comp::Group,Exception,Any,Mu		
X::Comp::NYI	X::Comp::NYI,X::NYI,Exception,Any,Mu	X::Comp	X::Comp
X::Comp::Trait::Invalid	X::Comp::Trait::Invalid,X::Trait::Invalid,Exception,Any,Mu	X::Comp,X::Trait	X::Comp,X::Trait,X::Trait
X::Comp::Trait::NotOnNative	X::Comp::Trait::NotOnNative,X::Trait::NotOnNative,Exception,Any,Mu	X::Comp,X::Trait	X::Comp,X::Trait,X::Trait
X::Comp::Trait::Scope	X::Comp::Trait::Scope,X::Trait::Scope,Exception,Any,Mu	X::Comp,X::Trait	X::Comp,X::Trait,X::Trait
X::Comp::Trait::Unknown	X::Comp::Trait::Unknown,X::Trait::Unknown,Exception,Any,Mu	X::Comp,X::Trait	X::Comp,X::Trait,X::Trait
X::Comp::TypeCheck	X::Comp::TypeCheck,X::TypeCheck,Exception,Any,Mu	X::Comp	X::Comp
X::Comp::WheneverOutOfScope	X::Comp::WheneverOutOfScope,Exception,Any,Mu	X::Comp	X::Comp
X::CompUnit::UnsatisfiedDependency	X::CompUnit::UnsatisfiedDependency,Exception,Any,Mu		
X::Composition::NotComposable	X::Composition::NotComposable,Exception,Any,Mu	X::Comp	X::Comp
X::Constructor::BadType	X::Constructor::BadType,Exception,Any,Mu	X::BadType	X::BadType
X::Constructor::Positional	X::Constructor::Positional,Exception,Any,Mu		
X::ControlFlow	X::ControlFlow,Exception,Any,Mu		
X::ControlFlow::Return	X::ControlFlow::Return,X::ControlFlow,Exception,Any,Mu		
X::DateTime::InvalidDeltaUnit	X::DateTime::InvalidDeltaUnit,Exception,Any,Mu	X::Temporal	X::Temporal
X::DateTime::TimezoneClash	X::DateTime::TimezoneClash,Exception,Any,Mu	X::Temporal	X::Temporal
X::Declaration::OurScopeInRole	X::Declaration::OurScopeInRole,Exception,Any,Mu	X::Comp	X::Comp
X::Declaration::Scope	X::Declaration::Scope,Exception,Any,Mu	X::Comp	X::Comp
X::Declaration::Scope::Multi	X::Declaration::Scope::Multi,X::Declaration::Scope,Exception,Any,Mu	X::Comp	X::Comp,X::Comp
X::Delete	X::Delete,Exception,Any,Mu		
X::Does::TypeObject	X::Does::TypeObject,Exception,Any,Mu		
